"%s was successfully added to your shopping cart.","%s وقد نجحت في اضافة إلى سلة التسوق الخاصة بك."
"&laquo; Back to Billing Information","&laquo; العودة إلى بيانات الفاتورة"
"&laquo; Back to Select Addresses","&laquo; العودة إلى اختيار العناوين"
"&laquo; Back to Shopping Cart","&laquo; العودة إلى عربة التسوق"
"* Required Fields","* حقول مطلوبة"
"Add New Address","إضافة عنوان جديد"
"Add New Condition","Add New Condition"
"Add to Cart","الإضافة إلى عربة التسوق"
"Add to Compare","الإضافة إلى المقارنة"
"Add to Wishlist","الإضافة إلى قائمة الأمنيات"
"Address","العنوان"
"Address %s of %s","العنوان %s لـ %s"
"After adding a product redirect to shopping cart","إعادة التوجيه إلى عربة التسوق بعد إضافة منتج"
"Allow Guest Checkout","السماح للزائر بإنهاء عملية الشراء"
"Already registered?","هل أنت مسجل؟"
"An error occurred in the process of payment","An error occurred in the process of payment"
"Apply Coupon","استخدام كوبون"
"Are you sure you would like to remove this item from the shopping cart?","هل أنت متأكد من إزالة هذه السلعة من عربة التسوق؟"
"Back","للخلف"
"Back to Shipping Information","العودة إلى بيانات الشحن"
"Based on your selection, you may be interested in the following items:","طبقا لاختيارك، قد تكون مهتما بالسلع التالية:"
"Billing Address","عنوان دفع الفاتورة"
"Billing Information","بيانات الفاتورة"
"Billing Information - %s","بيانات الفاتورة - %s"
"Can not add item to shopping cart","لا يمكن إضافة السلعة إلى عربة التسوق"
"Can not apply coupon code.","لا يمكن استخدام كود الكوبون."
"Can't open overview page","Can't open overview page"
"Cancel Coupon","إلغاء الكوبون"
"Cannot remove item","لا يمكن إزالة السلعة"
"Cannot update shopping cart","لا يمكن تحديث عربة التسوق"
"Card Verification Number Visual Reference","بطاقه رقم التحقق من الاشارة البصريه"
"Cart Subtotal:","المجموع الفرعيالسلة:"
"Change","Change"
"Change Billing Address","تحرير"
"Checkbox text","Checkbox text"
"Checkout","إنهاء عملية الشراء"
"Checkout Conditions","Checkout Conditions"
"Checkout Options","خيارات إنهاء عملية الشراء"
"Checkout Section","Checkout Section"
"Checkout Terms and Conditions","Checkout Terms and Conditions"
"Checkout as Guest","إنهاء عملية الشراء كزائر"
"Checkout as a Guest or Register","إنهاء عملية الشراء كزائر أو التسجيل"
"Checkout method","طريقة إنهاء عملية الشراء"
"Checkout with Multiple Addresses","إنهاء عملية الشراء بعناوين متعددة"
"City","المدينة"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation."
"Close","إغلاق"
"Company","الشركة"
"Condition Name","Condition Name"
"Condition was successfully deleted","Condition was successfully deleted"
"Condition was successfully saved","Condition was successfully saved"
"Configurable product image","للتهيئة صورة المنتج"
"Confirm Password","تأكيد كلمة المرور"
"Content","Content"
"Content Height","Content Height"
"Content Height (css)","Content Height (css)"
"Continue","استمرار"
"Continue Shopping","الاستمرار بالتسوق"
"Continue to Billing Information","الاستمرار إلى بيانات الفاتورة"
"Continue to Review Your Order","الاستمرار إلى مراجعة طلب الشراء"
"Continue to Shipping Information","الاستمرار إلى بيانات الشحن"
"Country","الدولة"
"Coupon code ""%s"" is not valid.","كود الكوبون ""%s"" غير صحيح."
"Coupon code ""%s"" was applied successfully.","Coupon code ""%s"" was applied successfully."
"Coupon code was canceled successfully.","تم إلغاء كود الكوبون بنجاح."
"Create Billing Address","إنشاء عنوان دفع الفاتورة"
"Create Shipping Address","إنشاء عنوان الشحن"
"Customer Address is not valid.","Customer Address is not valid."
"Data saving problem","خطأ في حفظ البيانات"
"Default Billing","افتراضي الفواتير"
"Default Shipping","الشحن الافتراضي"
"Delete Condition","Delete Condition"
"Details","Details"
"Disable Onepage Checkout","Disable Onepage Checkout"
"Disabled","Disabled"
"Discount Codes","أكواد خصم"
"Display Cart Summary","عرض ملخص عربة التسوق"
"Display Shopping Cart Sidebar","Display Shopping Cart Sidebar"
"Display item quantities","عرض كميات السلع"
"Display number of items in cart","عرض عدد السلع في عربة التسوق"
"Easy access to your order history and status","الوصول السهل لحالة وتاريخ طلبك"
"Edit","تحرير"
"Edit Address","تحرير العنوان"
"Edit Billing Address","تحرير عنوان دفع الفاتورة"
"Edit Items","تحرير السلع"
"Edit Shipping Address","تحرير عنوان الشحن"
"Edit Terms and Conditions","Edit Terms and Conditions"
"Edit Your Cart","تحرير عربة التسوق خاصتك"
